index,website
485,http://www.westernunion.com
486,http://www.weyerhaeuser.com
487,http://www.wyndhamworldwide.com
488,http://www.wynnresorts.com
489,http://www.cimarex.com
490,http://www.xcelenergy.com
491,http://www.xlgroup.com
492,http://www.xilinx.com
493,http://www.exxonmobil.com
494,http://www.dentsply.com
495,http://www.xerox.com
496,http://www.xyleminc.com
497,http://www.yahoo.com
498,http://www.yum.com
499,http://www.zimmerbiomet.com
500,http://www.zionsbancorporation.com
501,http://www.zoetis.com
